source_filename,folder_family,inferred_environment,inferred_piece_family,inferred_turn_type,inferred_elevation_type,inferred_special_type,notes
StadiumCircuitBorderSlopeDiagInRightBottom.png,Stadium,Stadium,elevation,right,slope,slope,slope circuit
StadiumCircuitBorderSlopeDiagInRightTop.png,Stadium,Stadium,elevation,right,slope,slope,slope circuit
StadiumCircuitBorderSlopeDiagOutLeftBottom.png,Stadium,Stadium,elevation,left,slope,slope,slope circuit
StadiumCircuitBorderSlopeDiagOutLeftTop.png,Stadium,Stadium,elevation,left,slope,slope,slope circuit
StadiumCircuitBorderSlopeDiagOutRightBottom.png,Stadium,Stadium,elevation,right,slope,slope,slope circuit
StadiumCircuitBorderSlopeDiagOutRightTop.png,Stadium,Stadium,elevation,right,slope,slope,slope circuit
StadiumCircuitBorderSlopeEndLeft.png,Stadium,Stadium,elevation,left,slope,slope,slope circuit
StadiumCircuitBorderSlopeEndRight.png,Stadium,Stadium,elevation,right,slope,slope,slope circuit
StadiumCircuitBorderSlopeGTCurve2InLeftBottom.png,Stadium,Stadium,curve,left,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve2InLeftTop.png,Stadium,Stadium,curve,left,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve2InRightBottom.png,Stadium,Stadium,curve,right,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve2InRightTop.png,Stadium,Stadium,curve,right,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve2OutLeftBottom.png,Stadium,Stadium,curve,left,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve2OutLeftTop.png,Stadium,Stadium,curve,left,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve2OutRightBottom.png,Stadium,Stadium,curve,right,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve2OutRightTop.png,Stadium,Stadium,curve,right,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve3InLeftBottom.png,Stadium,Stadium,curve,left,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve3InLeftTop.png,Stadium,Stadium,curve,left,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve3InRightBottom.png,Stadium,Stadium,curve,right,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve3InRightTop.png,Stadium,Stadium,curve,right,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve3OutLeftBottom.png,Stadium,Stadium,curve,left,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve3OutLeftTop.png,Stadium,Stadium,curve,left,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve3OutRightBottom.png,Stadium,Stadium,curve,right,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve3OutRightTop.png,Stadium,Stadium,curve,right,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve4InLeftBottom.png,Stadium,Stadium,curve,left,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve4InLeftTop.png,Stadium,Stadium,curve,left,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve4InRightBottom.png,Stadium,Stadium,curve,right,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve4InRightTop.png,Stadium,Stadium,curve,right,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve4OutLeftBottom.png,Stadium,Stadium,curve,left,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve4OutLeftTop.png,Stadium,Stadium,curve,left,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve4OutRightBottom.png,Stadium,Stadium,curve,right,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeGTCurve4OutRightTop.png,Stadium,Stadium,curve,right,slope,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeStartLeft.png,Stadium,Stadium,start_finish,left,slope,start,start circuit
StadiumCircuitBorderSlopeStartRight.png,Stadium,Stadium,start_finish,right,slope,start,start circuit
StadiumCircuitBorderSlopeStraightBottom.png,Stadium,Stadium,straight,,slope,straight,straight circuit
StadiumCircuitBorderSlopeStraightLeft.png,Stadium,Stadium,straight,left,slope,straight,straight circuit
StadiumCircuitBorderSlopeStraightRight.png,Stadium,Stadium,straight,right,slope,straight,straight circuit
StadiumCircuitBorderSlopeStraightTop.png,Stadium,Stadium,straight,,slope,straight,straight circuit
StadiumCircuitBorderStraight.png,Stadium,Stadium,straight,,,straight,straight circuit
StadiumCircuitBumpDown.png,Stadium,Stadium,elevation,,down,slope,slope circuit
StadiumCircuitBumper.png,Stadium,Stadium,elevation,,,slope,slope circuit
StadiumCircuitBumper2.png,Stadium,Stadium,elevation,,,slope,slope circuit
StadiumCircuitBumpUp.png,Stadium,Stadium,elevation,,up,slope,slope circuit
StadiumCircuitBumpUp2.png,Stadium,Stadium,elevation,,up,slope,slope circuit
StadiumCircuitForceAcceleration.png,Stadium,Stadium,special,,,boost,boost circuit
StadiumCircuitForceAccelerationSlope2Air.png,Stadium,Stadium,special,,slope,boost,boost circuit
StadiumCircuitFreeWheeling.png,Stadium,Stadium,border,,,,circuit
StadiumCircuitFreeWheelingSlope2Air.png,Stadium,Stadium,elevation,,slope,slope,slope circuit
StadiumCircuitHole.png,Stadium,Stadium,border,,,,circuit
StadiumCircuitLoopStart.png,Stadium,Stadium,start_finish,,,start,start circuit
StadiumCircuitLoopStartCorner.png,Stadium,Stadium,start_finish,,,start,start circuit
StadiumCircuitNoGrip.png,Stadium,Stadium,border,,,,circuit
StadiumCircuitNoGripSlope2Air.png,Stadium,Stadium,elevation,,slope,slope,slope circuit
StadiumCircuitNoSteering.png,Stadium,Stadium,border,,,,circuit
StadiumCircuitNoSteeringSlope2Air.png,Stadium,Stadium,elevation,,slope,slope,slope circuit
StadiumCircuitPillar1.png,Stadium,Stadium,border,,,,circuit
StadiumCircuitPillar2.png,Stadium,Stadium,border,,,,circuit
StadiumCircuitPillar3.png,Stadium,Stadium,border,,,,circuit
StadiumCircuitPillar5.png,Stadium,Stadium,border,,,,circuit
StadiumCircuitPillar6.png,Stadium,Stadium,border,,,,circuit
StadiumCircuitPillar7.png,Stadium,Stadium,border,,,,circuit
StadiumCircuitRampBig.png,Stadium,Stadium,ramp,,,ramp,ramp circuit
StadiumCircuitRampSmall1x05.png,Stadium,Stadium,ramp,,,ramp,ramp circuit
StadiumCircuitRampSmall1x1.png,Stadium,Stadium,ramp,,,ramp,ramp circuit
StadiumCircuitSlopeEnd.png,Stadium,Stadium,elevation,,slope,slope,slope circuit
StadiumCircuitSlopeStart.png,Stadium,Stadium,start_finish,,slope,start,start circuit
StadiumCircuitSlopeStraight.png,Stadium,Stadium,straight,,slope,straight,straight circuit
StadiumCircuitToRoadMain.png,Stadium,Stadium,border,,,,circuit
StadiumCircuitTurbo.png,Stadium,Stadium,special,,,boost,boost circuit
StadiumCircuitTurboDown.png,Stadium,Stadium,special,,down,boost,boost circuit
StadiumCircuitTurboLeft.png,Stadium,Stadium,special,left,,boost,boost circuit
StadiumCircuitTurboRight.png,Stadium,Stadium,special,right,,boost,boost circuit
StadiumCircuitTurboUp.png,Stadium,Stadium,special,,up,boost,boost circuit
StadiumControlCameraPub.png,Stadium,Stadium,decorative,,,deco,deco
StadiumControlLight.png,Stadium,Stadium,other,,,,
StadiumControlLightBase.png,Stadium,Stadium,other,,,,
StadiumControlRoadCamera.png,Stadium,Stadium,other,,,,
StadiumControlRoadGlass.png,Stadium,Stadium,other,,,,
StadiumControlRoadPub.png,Stadium,Stadium,decorative,,,deco,deco
StadiumDecoTowerA.png,Stadium,Stadium,decorative,,,deco,deco
StadiumDecoTowerB.png,Stadium,Stadium,decorative,,,deco,deco
StadiumDecoTowerBeam.png,Stadium,Stadium,decorative,,,deco,deco
StadiumDecoTowerC.png,Stadium,Stadium,decorative,,,deco,deco
StadiumDecoTowerCore.png,Stadium,Stadium,decorative,,,deco,deco
StadiumDecoTowerCore6.png,Stadium,Stadium,decorative,,,deco,deco
StadiumDecoTowerD.png,Stadium,Stadium,decorative,,,deco,deco
StadiumDirt.png,Stadium,Stadium,other,,,,
StadiumDirtBorder.png,Stadium,Stadium,border,,,border,border
StadiumDirtDeadendDoor.png,Stadium,Stadium,other,,,,
StadiumDirtDeadendSpot.png,Stadium,Stadium,other,,,,
StadiumDirtDeadendTent1.png,Stadium,Stadium,other,,,,
StadiumDirtHill.png,Stadium,Stadium,elevation,,,slope,slope
StadiumFabricCornerIn.png,Stadium,Stadium,curve,,,curve,curve
StadiumFabricCornerOut.png,Stadium,Stadium,curve,,,curve,curve
StadiumFabricCross1x1.png,Stadium,Stadium,other,,,,
StadiumFabricCross3x3.png,Stadium,Stadium,other,,,,
StadiumFabricCross3x3Screen.png,Stadium,Stadium,decorative,,,deco,deco
StadiumFabricPillarAir.png,Stadium,Stadium,other,,,,
StadiumFabricPillarAirScreen.png,Stadium,Stadium,decorative,,,deco,deco
StadiumFabricPillarCornerInAir.png,Stadium,Stadium,curve,,,curve,curve
StadiumFabricPillarScreenSmall.png,Stadium,Stadium,decorative,,,deco,deco
StadiumFabricRamp.png,Stadium,Stadium,ramp,,,ramp,ramp
StadiumFabricRampCornerIn.png,Stadium,Stadium,ramp,,,ramp,ramp
StadiumFabricRampCornerOut.png,Stadium,Stadium,ramp,,,ramp,ramp
StadiumFabricStraight1x1.png,Stadium,Stadium,straight,,,straight,straight
StadiumFabricStraight1x1Ramp.png,Stadium,Stadium,ramp,,,ramp,ramp
StadiumGrass.png,Stadium,Stadium,other,,,,
StadiumGrassBirds.png,Stadium,Stadium,other,,,,
StadiumGrassCheckpoint.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumHole.png,Stadium,Stadium,other,,,,
StadiumHolePillar.png,Stadium,Stadium,other,,,,
StadiumHolePillar2Front.png,Stadium,Stadium,other,,,,
StadiumHolePillar2Line.png,Stadium,Stadium,other,,,,
StadiumHolePillar3.png,Stadium,Stadium,other,,,,
StadiumHolePillarSlope.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumHolePillarTilt.png,Stadium,Stadium,elevation,,tilt,slope,slope
StadiumHoleSlope.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumHoleTilt.png,Stadium,Stadium,elevation,,tilt,slope,slope
StadiumInflatableAdvert.png,Stadium,Stadium,other,,,,
StadiumInflatableCactus.png,Stadium,Stadium,other,,,,
StadiumInflatableCastle.png,Stadium,Stadium,other,,,,
StadiumInflatableCastleBig.png,Stadium,Stadium,other,,,,
StadiumInflatableCastleDoor.png,Stadium,Stadium,other,,,,
StadiumInflatablePalmTree.png,Stadium,Stadium,decorative,,,deco,deco
StadiumInflatablePillar.png,Stadium,Stadium,other,,,,
StadiumInflatableSnowTree.png,Stadium,Stadium,decorative,,,deco,deco
StadiumInflatableSupport.png,Stadium,Stadium,other,,up,,
StadiumInflatableTube.png,Stadium,Stadium,special,,,pipe,pipe
StadiumLoopLeft.png,Stadium,Stadium,special,left,,loop,loop
StadiumLoopRight.png,Stadium,Stadium,special,right,,loop,loop
StadiumPlatformBiSlope2End.png,Stadium,Stadium,elevation,,slope,platform,platform
StadiumPlatformBiSlope2Start.png,Stadium,Stadium,start_finish,,slope,start,start
StadiumPlatformBiSlope2StartSmall.png,Stadium,Stadium,start_finish,,slope,start,start
StadiumPlatformBumper.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformBumper2.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformCheckpoint.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumPlatformCheckpointDown.png,Stadium,Stadium,checkpoint,,down,checkpoint,checkpoint
StadiumPlatformCheckpointLeft.png,Stadium,Stadium,checkpoint,left,,checkpoint,checkpoint
StadiumPlatformCheckpointRight.png,Stadium,Stadium,checkpoint,right,,checkpoint,checkpoint
StadiumPlatformCheckpointUp.png,Stadium,Stadium,checkpoint,,up,checkpoint,checkpoint
StadiumPlatformCornerWall1.png,Stadium,Stadium,curve,,,curve,curve
StadiumPlatformCornerWall2.png,Stadium,Stadium,curve,,,curve,curve
StadiumPlatformCornerWall4.png,Stadium,Stadium,curve,,,curve,curve
StadiumPlatformForceAcceleration.png,Stadium,Stadium,special,,,boost,boost
StadiumPlatformForceAccelerationSlope2.png,Stadium,Stadium,special,,slope,boost,boost
StadiumPlatformFW.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformFWSlope2.png,Stadium,Stadium,elevation,,slope,platform,platform
StadiumPlatformGridBumper.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformGridBumper2.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformGridCheckpoint.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumPlatformGridForceAcceleration.png,Stadium,Stadium,special,,,boost,boost
StadiumPlatformGridFW.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformGridNoGrip.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformGridNoSteering.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformGridStraight.png,Stadium,Stadium,straight,,,straight,straight
StadiumPlatformGridStraightBirds.png,Stadium,Stadium,straight,,,straight,straight
StadiumPlatformGridToCircuit.png,Stadium,Stadium,elevation,,,platform,platform circuit
StadiumPlatformGridTurbo.png,Stadium,Stadium,special,,,boost,boost
StadiumPlatformGTCurve2Wall1.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumPlatformGTCurve2Wall2.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumPlatformGTCurve2Wall4.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumPlatformGTCurve3Wall1.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumPlatformGTCurve3Wall2.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumPlatformGTCurve3Wall4.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumPlatformGTCurve4Wall1.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumPlatformGTCurve4Wall2.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumPlatformGTCurve4Wall4.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumPlatformLoopEnd.png,Stadium,Stadium,special,,,loop,loop
StadiumPlatformLoopEndCorner.png,Stadium,Stadium,special,,,loop,loop
StadiumPlatformLoopStart.png,Stadium,Stadium,start_finish,,,start,start
StadiumPlatformLoopStartCorner.png,Stadium,Stadium,start_finish,,,start,start
StadiumPlatformMultilap.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumPlatformNoGrip.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformNoGripSlope2.png,Stadium,Stadium,elevation,,slope,platform,platform
StadiumPlatformNoSteering.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformNoSteeringSlope2.png,Stadium,Stadium,elevation,,slope,platform,platform
StadiumPlatformRoad.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformSlope2Straight.png,Stadium,Stadium,straight,,slope,straight,straight
StadiumPlatformToRoad.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformToRoad2.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformToRoad2Mirror.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformToRoadMain.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformTurbo.png,Stadium,Stadium,special,,,boost,boost
StadiumPlatformTurboDown.png,Stadium,Stadium,special,,down,boost,boost
StadiumPlatformTurboLeft.png,Stadium,Stadium,special,left,,boost,boost
StadiumPlatformTurboRight.png,Stadium,Stadium,special,right,,boost,boost
StadiumPlatformTurboUp.png,Stadium,Stadium,special,,up,boost,boost
StadiumPlatformWall1.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformWall1Birds.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformWall1Screen.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformWall2.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformWall2ForceAcceleration.png,Stadium,Stadium,special,,,boost,boost
StadiumPlatformWall2FreeWheeling.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformWall2NoGrip.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformWall2NoSteering.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformWall4.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformWallBorder.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPlatformWallCheckpointH.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumPlatformWallCheckpointV.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumPlatformWallPub2.png,Stadium,Stadium,elevation,,,platform,platform
StadiumPodium.png,Stadium,Stadium,other,,,,
StadiumPool.png,Stadium,Stadium,other,,,,
StadiumPool2.png,Stadium,Stadium,other,,,,
StadiumRamp.png,Stadium,Stadium,ramp,,,ramp,ramp
StadiumRampLow.png,Stadium,Stadium,ramp,,,ramp,ramp
StadiumRoadDirt.png,Stadium,Stadium,other,,,,
StadiumRoadDirtCheckpoint.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumRoadDirtDiagonaleLeft.png,Stadium,Stadium,other,left,,,
StadiumRoadDirtDiagonaleRight.png,Stadium,Stadium,other,right,,,
StadiumRoadDirtFenceCorner.png,Stadium,Stadium,curve,,,curve,curve
StadiumRoadDirtFenceStraight.png,Stadium,Stadium,straight,,,straight,straight
StadiumRoadDirtForceAcceleration.png,Stadium,Stadium,special,,,boost,boost
StadiumRoadDirtFreeWheeling.png,Stadium,Stadium,other,,,,
StadiumRoadDirtGTCurve2.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumRoadDirtGTCurve3.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumRoadDirtGTCurve4.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumRoadDirtHigh.png,Stadium,Stadium,other,,,,
StadiumRoadDirtHighCheckpoint.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumRoadDirtHighFenceCorner.png,Stadium,Stadium,curve,,,curve,curve
StadiumRoadDirtHighFenceStraight.png,Stadium,Stadium,straight,,,straight,straight
StadiumRoadDirtHighFenceStraightBirds.png,Stadium,Stadium,straight,,,straight,straight
StadiumRoadDirtHighForceAcceleration.png,Stadium,Stadium,special,,,boost,boost
StadiumRoadDirtHighFreeWheeling.png,Stadium,Stadium,other,,,,
StadiumRoadDirtHighGTCurve2.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumRoadDirtHighGTCurve3.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumRoadDirtHighGTCurve4.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumRoadDirtHighMultiLap.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumRoadDirtHighNoGrip.png,Stadium,Stadium,other,,,,
StadiumRoadDirtHighNoSteering.png,Stadium,Stadium,other,,,,
StadiumRoadDirtHighToRoad.png,Stadium,Stadium,other,,,,
StadiumRoadDirtHighTurbo.png,Stadium,Stadium,special,,,boost,boost
StadiumRoadDirtHillSlope.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumRoadDirtHillSlope2.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumRoadDirtHillSlopeGT2.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumRoadDirtHillSlopeGT2Bis.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumRoadDirtHillTiltCheckpointLeft.png,Stadium,Stadium,checkpoint,left,tilt,checkpoint,checkpoint
StadiumRoadDirtHillTiltCheckpointRight.png,Stadium,Stadium,checkpoint,right,tilt,checkpoint,checkpoint
StadiumRoadDirtHillTiltCornerIn.png,Stadium,Stadium,curve,,tilt,curve,curve
StadiumRoadDirtHillTiltCornerLeft.png,Stadium,Stadium,curve,left,tilt,curve,curve
StadiumRoadDirtHillTiltCornerOut.png,Stadium,Stadium,curve,,tilt,curve,curve
StadiumRoadDirtHillTiltCornerRight.png,Stadium,Stadium,curve,right,tilt,curve,curve
StadiumRoadDirtHillTiltGTCurve3In.png,Stadium,Stadium,curve,,tilt,gtcurve,gtcurve
StadiumRoadDirtHillTiltGTCurve4In.png,Stadium,Stadium,curve,,tilt,gtcurve,gtcurve
StadiumRoadDirtHillTiltStraight.png,Stadium,Stadium,straight,,tilt,straight,straight
StadiumRoadDirtHillTiltToRoadLeft.png,Stadium,Stadium,elevation,left,tilt,slope,slope
StadiumRoadDirtHillTiltToRoadRight.png,Stadium,Stadium,elevation,right,tilt,slope,slope
StadiumRoadDirtHillTiltToRoadSlope.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumRoadDirtHillTiltToRoadSlopeMirror.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumRoadDirtHillTiltToRoadSlopeX2.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumRoadDirtHillTiltToRoadSlopeX2Mirror.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumRoadDirtHillTiltToRoadSlopeX4.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumRoadDirtHillTiltToRoadSlopeX4Mirror.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumRoadDirtHillWave.png,Stadium,Stadium,elevation,,,slope,slope
StadiumRoadDirtMultiLap.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumRoadDirtNoGrip.png,Stadium,Stadium,other,,,,
StadiumRoadDirtNoSteering.png,Stadium,Stadium,other,,,,
StadiumRoadDirtStraightBirds.png,Stadium,Stadium,straight,,,straight,straight
StadiumRoadDirtToRoad.png,Stadium,Stadium,other,,,,
StadiumRoadDirtToRoadB.png,Stadium,Stadium,other,,,,
StadiumRoadDirtToRoadDirtHigh.png,Stadium,Stadium,other,,,,
StadiumRoadDirtToRoadDirtHigh2.png,Stadium,Stadium,other,,,,
StadiumRoadDirtToRoadDirtHighBridge.png,Stadium,Stadium,bridge,,,bridge,bridge
StadiumRoadDirtToRoadDirtHighCross.png,Stadium,Stadium,other,,,,
StadiumRoadDirtToRoadGrass.png,Stadium,Stadium,other,,,,
StadiumRoadDirtTurbo.png,Stadium,Stadium,special,,,boost,boost
StadiumRoadDirtWave_x1.png,Stadium,Stadium,other,,,,
StadiumRoadDirtWave_x2.png,Stadium,Stadium,other,,,,
StadiumRoadMain.png,Stadium,Stadium,other,,,,
StadiumRoadMainBirds.png,Stadium,Stadium,other,,,,
StadiumRoadMainBiSlopeEnd.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumRoadMainBiSlopeStart.png,Stadium,Stadium,start_finish,,slope,start,start
StadiumRoadMainBumper.png,Stadium,Stadium,elevation,,,slope,slope
StadiumRoadMainBumper2.png,Stadium,Stadium,elevation,,,slope,slope
StadiumRoadMainCheckpoint.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumRoadMainCheckpointDown.png,Stadium,Stadium,checkpoint,,down,checkpoint,checkpoint
StadiumRoadMainCheckpointLeft.png,Stadium,Stadium,checkpoint,left,,checkpoint,checkpoint
StadiumRoadMainCheckpointRight.png,Stadium,Stadium,checkpoint,right,,checkpoint,checkpoint
StadiumRoadMainCheckpointUp.png,Stadium,Stadium,checkpoint,,up,checkpoint,checkpoint
StadiumRoadMainCorner.png,Stadium,Stadium,curve,,,curve,curve
StadiumRoadMainFinish.png,Stadium,Stadium,start_finish,,,start,start
StadiumRoadMainForceAcceleration.png,Stadium,Stadium,special,,,boost,boost
StadiumRoadMainForceAccelerationSlope.png,Stadium,Stadium,special,,slope,boost,boost
StadiumRoadMainForceAccelerationTilt.png,Stadium,Stadium,special,,tilt,boost,boost
StadiumRoadMainFW.png,Stadium,Stadium,other,,,,
StadiumRoadMainFWSlope.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumRoadMainFWTilt.png,Stadium,Stadium,elevation,,tilt,slope,slope
StadiumRoadMainGTCurve2.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumRoadMainGTCurve3.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumRoadMainGTCurve4.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumRoadMainGTCurve5.png,Stadium,Stadium,curve,,,gtcurve,gtcurve
StadiumRoadMainGTDiag2x2.png,Stadium,Stadium,other,diag,,,
